rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
38,,"The Longest Day",1962,http://www.icheckmovies.com/movies/the+longest+day/,4488,245,21,6,274,,http://www.imdb.com/title/tt0056197/,"2011-12-07 00:22:25",no,no,no,no
39,,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,30365,2844,206,38,1160,,http://www.imdb.com/title/tt0056172/,"2010-01-30 15:23:27",no,no,no,no
40,,"The Great Escape",1963,http://www.icheckmovies.com/movies/the+great+escape/,29295,1922,76,15,644,,http://www.imdb.com/title/tt0057115/,"2010-01-30 15:23:28",no,no,no,no
41,,Zulu,1964,http://www.icheckmovies.com/movies/zulu/,4780,218,31,8,222,,http://www.imdb.com/title/tt0058777/,"2010-05-18 04:00:32",no,no,no,no
42,,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,http://www.icheckmovies.com/movies/dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb/,50272,6386,332,33,1336,,http://www.imdb.com/title/tt0057012/,"2010-01-30 15:23:27",no,no,no,no
43,,"Obchod na korze",1965,http://www.icheckmovies.com/movies/obchod+na+korze/,1529,220,7,13,321,"The Shop on Main Street",http://www.imdb.com/title/tt0059527/,no,no,no,no,no
44,,"La battaglia di Algeri",1966,http://www.icheckmovies.com/movies/la+battaglia+di+algeri/,8503,1056,61,27,726,"The Battle of Algiers",http://www.imdb.com/title/tt0058946/,"2010-01-30 15:23:27",no,no,no,no
45,,"Ostre sledované vlaky",1966,http://www.icheckmovies.com/movies/ostre+sledovane+vlaky/,2594,250,21,14,337,"Closely Watched Trains",http://www.imdb.com/title/tt0060802/,no,no,no,no,no
46,,"The Dirty Dozen",1967,http://www.icheckmovies.com/movies/the+dirty+dozen/,7855,467,36,8,306,,http://www.imdb.com/title/tt0061578/,"2011-01-02 01:46:48",no,no,no,no
47,,"Where Eagles Dare",1968,http://www.icheckmovies.com/movies/where+eagles+dare/,3688,244,22,6,208,,http://www.imdb.com/title/tt0065207/,"2011-02-03 03:43:36",no,no,no,no
