rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
349,46,Saw,2004,http://www.icheckmovies.com/movies/saw/,55418,1997,706,6,408,,http://www.imdb.com/title/tt0387564/,no,no,no,no,no
350,47,Scanners,1981,http://www.icheckmovies.com/movies/scanners/,7021,336,58,4,295,,http://www.imdb.com/title/tt0081455/,no,no,no,no,no
351,49,"The Serpent and the Rainbow",1988,http://www.icheckmovies.com/movies/the+serpent+and+the+rainbow/,2662,89,43,2,131,,http://www.imdb.com/title/tt0096071/,no,no,no,no,no
352,56,Shivers,1975,http://www.icheckmovies.com/movies/shivers/,2451,110,28,4,217,,http://www.imdb.com/title/tt0073705/,no,no,no,no,no
353,57,"Shock Waves",1977,http://www.icheckmovies.com/movies/shock+waves/,471,12,11,2,83,"Almost Human",http://www.imdb.com/title/tt0076704/,no,no,no,no,no
354,62,Society,1989,http://www.icheckmovies.com/movies/society/,1428,87,20,3,170,,http://www.imdb.com/title/tt0098354/,no,no,no,no,no
355,86,Tenebre,1982,http://www.icheckmovies.com/movies/tenebre/,2576,187,26,4,228,Tenebrae,http://www.imdb.com/title/tt0084777/,no,no,no,no,no
356,86,"The Texas Chain Saw Massacre",1974,http://www.icheckmovies.com/movies/the+texas+chain+saw+massacre/,24797,1271,189,14,700,,http://www.imdb.com/title/tt0072271/,no,no,no,no,no
357,116,Vamp,1986,http://www.icheckmovies.com/movies/vamp-1986-1/,537,19,18,2,70,,http://www.imdb.com/title/tt0092147/,no,no,no,no,no
358,130,"White Zombie",1932,http://www.icheckmovies.com/movies/white+zombie/,2137,65,33,2,181,,http://www.imdb.com/title/tt0023694/,no,no,no,no,no
359,135,"Witchfinder General",1968,http://www.icheckmovies.com/movies/witchfinder+general/,1834,91,25,6,195,"The Conqueror Worm",http://www.imdb.com/title/tt0063285/,no,no,no,no,no
360,142,"Zombi 2",1979,http://www.icheckmovies.com/movies/zombi+2/,2910,178,44,4,239,Zombie,http://www.imdb.com/title/tt0080057/,no,no,no,no,no
361,-314,"The Big Lebowski",1998,http://www.icheckmovies.com/movies/the+big+lebowski/,82820,10278,706,25,1132,,http://www.imdb.com/title/tt0118715/,"2010-01-30 15:23:28",no,no,no,no
362,-288,"Bubba Ho-Tep",2002,http://www.icheckmovies.com/movies/bubba+ho-tep/,5797,329,83,3,149,,http://www.imdb.com/title/tt0281686/,"2010-01-30 15:23:27",no,no,no,no
363,-271,"A Christmas Story",1983,http://www.icheckmovies.com/movies/a+christmas+story/,29007,1491,310,5,350,,http://www.imdb.com/title/tt0085334/,"2010-01-30 15:23:26",no,no,no,no
364,-217,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,http://www.icheckmovies.com/movies/dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb/,50272,6386,332,33,1336,,http://www.imdb.com/title/tt0057012/,"2010-01-30 15:23:27",no,no,no,no
365,-151,Heathers,1989,http://www.icheckmovies.com/movies/heathers/,13958,1342,108,7,368,,http://www.imdb.com/title/tt0097493/,"2021-02-18 15:24:21",no,no,no,no
366,-114,"Kind Hearts and Coronets",1949,http://www.icheckmovies.com/movies/kind+hearts+and+coronets/,6433,850,28,19,516,,http://www.imdb.com/title/tt0041546/,"2010-01-30 15:23:27",no,no,no,no
367,17,"The Rocky Horror Picture Show",1975,http://www.icheckmovies.com/movies/the+rocky+horror+picture+show/,32360,2709,366,11,550,,http://www.imdb.com/title/tt0073629/,"2012-12-01 21:00:20",no,no,no,no
368,79,"This Is Spinal Tap",1984,http://www.icheckmovies.com/movies/this+is+spinal+tap/,31100,2453,164,19,640,,http://www.imdb.com/title/tt0088258/,"2010-01-30 15:23:28",no,no,no,no
369,126,"Withnail & I",1987,http://www.icheckmovies.com/movies/withnail+and+i/,8513,963,86,12,416,,http://www.imdb.com/title/tt0094336/,"2011-07-30 03:24:26",no,no,no,no
370,131,"Young Frankenstein",1974,http://www.icheckmovies.com/movies/young+frankenstein/,28792,2326,120,13,597,,http://www.imdb.com/title/tt0072431/,"2010-01-30 15:23:28",no,no,no,no
371,-366,"200 Motels",1971,http://www.icheckmovies.com/movies/200+motels/,406,17,21,2,54,,http://www.imdb.com/title/tt0066732/,no,no,no,no,no
372,-371,"24 Hour Party People",2002,http://www.icheckmovies.com/movies/24+hour+party+people/,6401,462,40,4,197,,http://www.imdb.com/title/tt0274309/,"2013-09-29 00:36:11",no,no,no,no
373,-363,"The Adventures of Priscilla, Queen of the Desert",1994,http://www.icheckmovies.com/movies/the+adventures+of+priscilla+queen+of+the+desert/,9427,622,47,6,280,,http://www.imdb.com/title/tt0109045/,"2010-01-30 15:23:28",no,no,no,no
374,-347,"Arsenic and Old Lace",1942,http://www.icheckmovies.com/movies/arsenic+and+old+lace/,10188,1094,88,7,407,,http://www.imdb.com/title/tt0036613/,"2010-01-30 15:23:26",no,no,no,no
375,-345,"Attack of the 50 Foot Woman",1958,http://www.icheckmovies.com/movies/attack+of+the+50+foot+woman/,1106,22,34,1,87,,http://www.imdb.com/title/tt0051380/,no,no,no,no,no
376,-344,"Bad Boy Bubby",1993,http://www.icheckmovies.com/movies/bad+boy+bubby/,1611,180,18,5,199,,http://www.imdb.com/title/tt0106341/,"2020-07-04 03:12:45",no,no,no,no
377,-340,Bananas,1971,http://www.icheckmovies.com/movies/bananas/,5527,264,61,3,166,,http://www.imdb.com/title/tt0066808/,no,no,no,no,no
378,-336,"The Bed Sitting Room",1969,http://www.icheckmovies.com/movies/the+bed+sitting+room/,520,30,11,3,95,,http://www.imdb.com/title/tt0064074/,no,no,no,no,no
379,-334,"Best in Show",2000,http://www.icheckmovies.com/movies/best+in+show/,8688,559,63,3,187,,http://www.imdb.com/title/tt0218839/,no,no,no,no,no
380,-318,"Bottle Rocket",1996,http://www.icheckmovies.com/movies/bottle+rocket/,10877,601,88,3,217,,http://www.imdb.com/title/tt0115734/,"2012-08-22 01:59:55",no,no,no,no
381,-310,"Bringing Up Baby",1938,http://www.icheckmovies.com/movies/bringing+up+baby/,11322,1153,138,22,678,,http://www.imdb.com/title/tt0029947/,"2010-01-30 15:23:26",no,no,no,no
382,-303,"The Cannonball Run",1981,http://www.icheckmovies.com/movies/the+cannonball+run/,3045,77,48,3,93,,http://www.imdb.com/title/tt0082136/,"2012-07-08 19:31:50",no,no,no,no
383,-301,"Carnal Knowledge",1971,http://www.icheckmovies.com/movies/carnal+knowledge/,1447,70,23,3,139,,http://www.imdb.com/title/tt0066892/,no,no,no,no,no
384,-299,"Casino Royale",1967,http://www.icheckmovies.com/movies/casino+royale-1967/,4203,75,129,2,105,,http://www.imdb.com/title/tt0061452/,"2011-12-31 17:59:59",no,no,no,no
385,-290,Clerks,1994,http://www.icheckmovies.com/movies/clerks-1994/,36411,2946,287,8,485,,http://www.imdb.com/title/tt0109445/,"2010-01-30 15:23:27",no,no,no,no
386,-280,Crimewave,1985,http://www.icheckmovies.com/movies/crimewave/,552,25,28,1,64,,http://www.imdb.com/title/tt0088967/,"2012-12-14 21:54:17",no,no,no,no
387,-277,Cul-de-sac,1966,http://www.icheckmovies.com/movies/cul-de-sac/,2055,140,21,7,173,,http://www.imdb.com/title/tt0060268/,no,no,no,no,no
388,-274,"Dark Star",1974,http://www.icheckmovies.com/movies/dark+star/,3281,187,93,7,212,,http://www.imdb.com/title/tt0069945/,"2014-09-25 00:12:10",no,no,no,no
389,-243,"Down by Law",1986,http://www.icheckmovies.com/movies/down+by+law/,6647,796,41,9,361,,http://www.imdb.com/title/tt0090967/,"2010-01-30 15:23:27",no,no,no,no
390,-230,Election,1999,http://www.icheckmovies.com/movies/election/,11796,662,96,7,321,,http://www.imdb.com/title/tt0126886/,no,no,no,no,no
391,-228,"The End",1978,http://www.icheckmovies.com/movies/the+end-1978/,313,7,10,2,33,,http://www.imdb.com/title/tt0077504/,no,no,no,no,no
392,-220,"Fast Times at Ridgemont High",1982,http://www.icheckmovies.com/movies/fast+times+at+ridgemont+high/,15576,588,112,8,323,,http://www.imdb.com/title/tt0083929/,"2012-03-25 19:26:39",no,no,no,no
393,-219,"Dance of the Vampires",1967,http://www.icheckmovies.com/movies/dance+of+the+vampires/,2938,213,48,4,203,"The Fearless Vampire Killers",http://www.imdb.com/title/tt0061655/,no,no,no,no,no
394,-219,"Ferris Bueller's Day Off",1986,http://www.icheckmovies.com/movies/ferris+buellers+day+off/,58428,4488,299,10,616,,http://www.imdb.com/title/tt0091042/,"2010-01-30 15:23:27",no,no,no,no
395,-214,Fletch,1985,http://www.icheckmovies.com/movies/fletch/,3547,141,34,1,89,,http://www.imdb.com/title/tt0089155/,no,no,no,no,no
396,-210,Friday,1995,http://www.icheckmovies.com/movies/friday/,6075,280,63,2,133,,http://www.imdb.com/title/tt0113118/,no,no,no,no,no
397,-210,"Fright Night",1985,http://www.icheckmovies.com/movies/fright+night/,6518,331,51,2,227,,http://www.imdb.com/title/tt0089175/,no,no,no,no,no
398,-210,"Fritz the Cat",1972,http://www.icheckmovies.com/movies/fritz+the+cat/,3114,100,71,4,142,,http://www.imdb.com/title/tt0068612/,no,no,no,no,no
399,-199,"Goin' South",1978,http://www.icheckmovies.com/movies/goin+south/,516,7,12,1,51,,http://www.imdb.com/title/tt0077621/,no,no,no,no,no
400,-192,Happiness,1998,http://www.icheckmovies.com/movies/happiness/,8338,907,95,7,390,,http://www.imdb.com/title/tt0147612/,no,no,no,no,no
401,-166,"In Bruges",2008,http://www.icheckmovies.com/movies/in+bruges/,47330,5141,339,4,615,,http://www.imdb.com/title/tt0780536/,"2010-01-30 15:23:27",no,no,no,no
402,-159,"Jamón Jamón",1992,http://www.icheckmovies.com/movies/jamon+jamon/,1045,40,19,1,75,"Jamón, Jamón",http://www.imdb.com/title/tt0104545/,no,no,no,no,no
403,-156,Juno,2007,http://www.icheckmovies.com/movies/juno/,81886,4745,868,12,547,,http://www.imdb.com/title/tt0467406/,"2010-01-30 15:23:27",no,no,no,no
404,-144,"The Ladykillers",1955,http://www.icheckmovies.com/movies/the+ladykillers/,6007,327,34,8,328,,http://www.imdb.com/title/tt0048281/,"2019-01-12 15:35:00",no,no,no,no
405,-129,"The Little Shop of Horrors",1960,http://www.icheckmovies.com/movies/the+little+shop+of+horrors/,5788,167,56,2,167,,http://www.imdb.com/title/tt0054033/,no,no,no,no,no
406,-119,"The Loved One",1965,http://www.icheckmovies.com/movies/the+loved+one/,342,22,10,2,103,,http://www.imdb.com/title/tt0059410/,no,no,no,no,no
407,-104,"Meet the Feebles",1989,http://www.icheckmovies.com/movies/meet+the+feebles/,2026,107,35,3,108,,http://www.imdb.com/title/tt0097858/,no,no,no,no,no
408,-94,"The Monster Squad",1987,http://www.icheckmovies.com/movies/the+monster+squad/,3049,200,30,2,145,,http://www.imdb.com/title/tt0093560/,no,no,no,no,no
409,-91,"Mystery Men",1999,http://www.icheckmovies.com/movies/mystery+men/,6408,208,100,1,98,,http://www.imdb.com/title/tt0132347/,"2012-01-01 06:47:21",no,no,no,no
410,-85,"Night of the Comet",1984,http://www.icheckmovies.com/movies/night+of+the+comet/,1643,86,23,2,154,,http://www.imdb.com/title/tt0087799/,"2021-05-20 23:54:47",no,no,no,no
411,-77,"Nothing Lasts Forever",1984,http://www.icheckmovies.com/movies/nothing+lasts+forever/,172,13,3,1,41,,http://www.imdb.com/title/tt0087817/,no,no,no,no,no
412,-77,"Office Space",1999,http://www.icheckmovies.com/movies/office+space/,39637,3507,182,5,415,,http://www.imdb.com/title/tt0151804/,"2010-01-30 15:23:27",no,no,no,no
413,-58,"Pink Flamingos",1972,http://www.icheckmovies.com/movies/pink+flamingos/,4619,308,170,9,324,,http://www.imdb.com/title/tt0069089/,no,no,no,no,no
414,-53,Polyester,1981,http://www.icheckmovies.com/movies/polyester/,1003,79,6,3,95,,http://www.imdb.com/title/tt0082926/,no,no,no,no,no
415,-51,"The Producers",1967,http://www.icheckmovies.com/movies/the+producers/,14126,753,112,13,423,,http://www.imdb.com/title/tt0063462/,"2010-01-30 15:23:28",no,no,no,no
416,-46,"Quick Change",1990,http://www.icheckmovies.com/movies/quick+change/,1731,98,14,2,72,,http://www.imdb.com/title/tt0100449/,"2021-05-01 21:14:33",no,no,no,no
417,-13,"Shakes the Clown",1991,http://www.icheckmovies.com/movies/shakes+the+clown/,496,22,11,1,34,,http://www.imdb.com/title/tt0102898/,no,no,no,no,no
